Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information as to how the Parinacota were discovered.								
12		User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	Some countries that had a significantly less severe experience during the Great Depression when compared to other countries were Great Britain, France, and Sweden.	Great Depression	France's relatively high degree of self-sufficiency meant the damage was considerably less than in neighbouring states like Germany.	Great Depression	By the 1930s, Sweden had what America's Life magazine called in 1938 the "world's highest standard of living". Sweden was also the first country worldwide to recover completely from the Great Depression.	Great Depression	The world financial crisis began to overwhelm Britain in 1931; investors around the world started withdrawing their gold from London at the rate of £2.5 million per day.[82] Credits of £25 million each from the Bank of France and the Federal Reserve Bank of New York and an issue of £15 million fiduciary note slowed, but did not reverse the British crisis.		
												
												
Mistake code	Mistake description											
1	A rule of thumb when labeling evidence paragraphs and writing your response - Every evidence paragraph needs to have some information that is used in your response, and every piece of information in your response needs to have grounding in an evidence paragraph (you can double check this by doing a fact checking on your own response based on your entered evidence paragraphs). In addition, DO NOT label multiple paragraphs that support the same information piece in your response. Let's say your response contains information A and B. You find that paragraph 1 contains A, paragraph 2 contains both A and B and paragraph 3 contains C only. In this case, you should only label paragraph 2 as the single evidence paragraph. 											
2	There are more answers in the same Wikipedia page you find (e.g., different varieties and so on)											
3	The answer can be easily found											
4	When raising a clarification question to the user, make sure you list out concrete options / conditions you find in evidence paragraphs for the user to choose. For example, if you find different answers depending on whether the location is "Canada" or "Ireland". Ask "Do you want to know about Canada or Ireland?" instead of “Which country do you mean?”.											
5	An entity in the user request is ambiguous. Check example 4 under "Example" tab in the instruction.											
